baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	neg_log10_padj	in_calcium_signaling
ABHD12	769.350984542553	0.443801943504748	0.161479145839661	2.74835453951073	0.00598952046266976	0.013523204224217	1.86892039330406	FALSE
ABHD13	538.645596897923	-0.334324555962867	0.167983157260158	-1.99022664781263	0.0465659741047293	0.0818448615014128	1.08700858187983	FALSE
ABHD14A	412.042753606561	-0.375128413434416	0.186865183808516	-2.0074815746245	0.0446984106009208	0.0789411830114017	1.10269636956105	FALSE
ABHD14A-ACY1	1467.51260513062	-1.17293548843464	0.2263791421637	-5.18128780427331	2.20359176616741e-07	1.24316278980331e-06	5.90547199759797	FALSE
ABHD14B	265.56573238352	-0.264246553683538	0.198838914671459	-1.32894787783444	0.18386516650129	0.263589698210959	0.579071567134026	FALSE
ABHD15	202.600691916453	1.98689638702773	0.27086550363207	7.33536150002557	2.21123807311335e-13	2.91438983259095e-12	11.5354523568833	FALSE
ABHD16A	1820.02092987372	-0.496541588330131	0.122720685905375	-4.04611157986027	5.20754183904341e-05	0.00018569894916468	3.73119055384381	FALSE
ABHD17B	428.505386388459	-0.55478601470908	0.189900289312244	-2.92145955500295	0.0034839550737748	0.00835252871783112	2.0781820224873	FALSE
ABHD17C	500.705103942309	-2.00108428732594	0.214897566735811	-9.31180523689229	1.25677814595505e-20	3.53194556732287e-19	18.4519859981844	FALSE
ABHD18	1002.27138678338	-0.592370025404445	0.270567468249086	-2.18936160077865	0.0285705682962777	0.05316094302863	1.27440732365674	FALSE
ABHD2	1362.58783761787	-1.42567335111582	0.324590002295959	-4.39222816793939	1.12194862797882e-05	4.59994607295216e-05	4.33724725970029	FALSE
ABHD3	363.534857115675	-1.38238071818891	0.338013783375982	-4.08971700615904	4.31899821440653e-05	0.000157125746683701	3.80375264547248	FALSE
ABHD4	834.40094978802	-1.55596556121306	0.252572565759982	-6.16046939433511	7.25296325025672e-10	5.99130860089247e-09	8.22247831015208	FALSE
ABHD5	844.374125830129	0.54969420957828	0.170307824220799	3.22765094377355	0.00124811172275308	0.00331136134635513	2.47999342505724	FALSE
ABHD6	178.867096175242	0.620819578424257	0.345226732500648	1.79829520711607	0.0721302388718535	0.119147804001819	0.923913957670701	FALSE
ABHD8	351.426452548627	-0.518018670565821	0.205555179400497	-2.52009544141201	0.0117323017773741	0.0244041985081349	1.61253545103594	FALSE
ABI1	1554.10523847628	0.919204967581897	0.211473688536296	4.34666352085749	1.38224012910551e-05	5.55773538663429e-05	4.25510213457561	FALSE
ABI2	3094.29691786503	-0.0023266543448677	0.14617540953217	-0.0159168655816604	0.98730071491842	0.991688303193871	0.00362480917086112	FALSE
ABI3	157.018391779102	0.330656293408721	0.327952237437304	1.00824527374031	0.313336728223398	0.408966219918559	0.388312562674403	FALSE
ABI3BP	2411.53132298003	1.84948349714998	0.284266479483218	6.50616105181392	7.70955721771026e-11	7.318912093274e-10	9.13555346907837	FALSE
ABITRAM	166.183677787935	-0.142562664669716	0.274987877118084	-0.518432543877188	0.604156513446286	0.690251090808765	0.160992898369463	FALSE
ABL1	1705.39589507276	0.846064346532993	0.19314392528512	4.38048644441718	1.18414659361822e-05	4.82515890449035e-05	4.31648837968663	FALSE
