gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
CGA	218	20	109	76	0	0	0	0
CGGBP1	661	687	726	884	549	576	842	643
CGNL1	1871	1986	1595	2073	136	1137	1093	911
CGRRF1	461	273	784	470	398	399	872	564
CH25H	226	827	16	138	13	4	13	12
CHAD	233	203	159	133	74	50	99	96
CHAF1A	210	201	355	225	71	79	116	122
CHCHD1	767	766	758	821	736	808	1176	833
CHCHD10	1811	2357	2231	2101	71	60	119	94
CHCHD2	1283	1403	1449	1233	2192	3047	3637	2635
CHCHD3	389	624	667	420	1946	2199	3909	2677
CHCHD4	87	95	178	107	92	117	140	170
CHCHD5	290	382	409	296	201	226	398	265
CHCHD6	201	224	323	292	316	404	568	488
CHCHD7	1215	1531	2851	1184	3320	3642	6850	4321
CHD1	1262	925	1527	1128	470	639	817	914
CHD1L	1035	695	601	809	334	490	792	505
CHD2	2793	2891	5897	3239	1444	2455	2572	2430
CHD3	3514	1987	1869	3554	909	850	1654	1153
CHD4	9259	7987	10591	8400	4196	7210	8368	5770
CHD6	1503	1630	1980	1829	1051	1307	1791	1297
CHD7	1045	1109	1881	1238	1639	2087	2921	1809
CHD8	1791	1634	2535	1965	1551	1664	2540	1370
CHD9	427	952	593	1124	397	421	704	684
CHDH	151	104	241	50	21	76	137	102
CHERP	1578	886	1274	939	465	676	1006	840
CHFR	655	382	536	546	278	335	571	386
CHI3L1	956	87	389	560	40	189	375	527
CHIC1	117	275	206	235	269	327	552	376
CHIC2	452	213	296	324	136	150	184	153
CHID1	1859	1471	1216	1844	994	1089	1307	1103
CHIT1	39532	79	19	19	56	44	50	23
CHKA	821	610	1439	771	838	1068	1256	1133
CHKB	1737	1177	1578	1434	357	626	478	546
CHKB-CPT1B	17514	25824	22576	14720	7503	10959	12461	7629
CHM	161	354	232	347	528	537	883	460
CHMP1A	464	292	361	461	292	332	543	423
CHMP2A	2948	2929	4032	2795	1487	1800	2530	1802
CHMP2B	1354	858	1303	1042	655	961	1138	904
CHMP3	2297	2237	2308	2344	504	658	862	594
CHMP4A	726	456	581	649	157	182	215	176
CHMP4B	2686	2009	3014	2790	1088	1333	2037	1477
CHMP5	1810	1396	1672	1680	905	1118	1404	1221
CHMP6	190	124	254	205	224	193	206	169
CHMP7	2358	2669	2714	2907	2717	3024	4396	2821
CHN1	567	277	204	562	12438	10920	21056	13991
CHN2	231	232	205	305	74	77	79	66
CHORDC1	457	214	221	362	195	380	289	417
CHP1	2040	1547	2201	1933	2684	2462	3932	3317
CHPF	3007	2802	4341	4279	1248	1260	1981	1730
CHPF2	645	373	950	660	188	175	330	277
CHPT1	1534	1545	3244	1355	761	958	1243	830
CHRAC1	423	307	548	332	313	279	379	277
CHRD	753	407	385	884	127	139	251	265
CHRDL1	874	210	268	1177	197	45	256	38
CHRDL2	117	48	28	320	15	4	9	97
CHRM2	241	352	367	314	171	219	230	251
CHRNB1	298	244	129	265	239	250	435	271
CHST1	278	166	200	304	54	78	87	60
CHST10	259	203	291	232	346	432	588	360
CHST14	406	255	311	475	165	229	251	181
CHST15	863	458	479	648	459	442	943	453
CHST2	188	175	118	178	62	58	161	124
CHST7	215	202	135	172	21	36	45	53
CHST9	409	375	516	319	10	61	36	44
CHSY1	610	351	498	496	158	183	190	206
CHSY3	139	108	70	163	46	46	44	53
CHTF8	204	126	198	193	121	165	198	188
CHTOP	3875	2836	3840	3404	1735	2138	2672	2022
CHUK	1358	1007	1330	1090	1089	1639	1901	1378
CHURC1	711	653	918	789	913	1086	1583	1129
CHURC1-FNTB	1757	1462	1554	1729	1657	1666	2603	1831
CIAO1	661	821	776	708	482	546	852	644
CIAO2A	207	235	196	197	113	118	230	155
CIAO2B	1853	1582	1932	2085	2002	1871	3386	2383
CIAO3	437	469	478	402	264	273	471	362
CIART	613	204	1951	230	395	291	630	300
CIB1	1670	1602	1511	1641	783	761	1085	1035
CIB2	1816	1825	2336	1743	1002	1068	1787	1129
CIBAR1	653	667	766	820	410	531	531	567
CIC	2048	1318	2967	1949	835	948	1575	1163
CIDEA	134	310	120	252	42	3	80	7
CIDEB	639	481	626	551	441	559	712	539
CIITA	452	146	199	317	433	456	776	550
CILK1	778	599	778	1086	385	582	631	473
CILP	3623	1680	291	9201	835	141	427	603
CIMAP1B	380	156	317	337	5	3	7	12
CIMAP3	99	112	139	127	179	175	412	238
CIMIP2A	340	372	597	411	237	144	325	254
CINP	1057	953	1689	1039	610	803	1174	800
CIP2A	92	68	107	237	59	60	78	52
CIPC	418	472	502	330	305	472	525	400
CIR1	1419	780	1896	1008	620	1010	1358	900
CIRBP	9163	7895	16755	9940	3970	5999	7767	5114
CISD1	2483	2661	3839	2550	2024	1864	3608	2213
CISD2	262	226	218	285	343	329	554	337
CISH	646	585	565	443	571	1013	865	425
CITED2	604	1743	1285	711	403	699	584	837
CIZ1	3595	2462	2816	2885	703	1065	1125	1014
CKAP2	295	242	509	380	34	33	38	31
CKAP4	2352	2017	2041	3125	920	973	1236	1051
CKAP5	3434	3530	2806	4352	1654	2305	3010	2376
CKLF	333	161	126	263	72	119	128	114
CKM	54575	74217	98447	50574	77855	100608	144665	104885
CKMT2	27512	40488	29484	30511	42081	46323	92655	60694
CKS1B	262	154	176	263	174	148	213	186
CLASP1	1697	2254	2568	1720	1307	1506	2644	1704
CLASP2	2757	2971	3236	3093	1385	1934	2374	1561
CLASRP	1623	919	1300	1107	344	398	508	575
CLBA1	95	108	106	143	94	178	204	116
CLCC1	2170	1892	2840	2301	859	1216	1299	1009
CLCN2	116	85	160	115	83	182	180	121
CLCN3	4112	3757	4661	4343	1855	2487	3027	2971
CLCN4	395	458	513	308	392	452	706	540
CLCN6	1379	908	1551	1109	715	1007	1624	1054
CLCN7	1401	744	1137	979	547	778	1079	757
CLDN10	68	31	199	110	10	40	175	48
CLDN11	317	192	250	371	44	25	29	77
CLDN12	2226	1625	2405	1798	576	770	1071	864
CLDN15	277	123	103	252	109	138	242	164
CLDN22	289	190	230	196	84	128	175	145
CLDND1	2072	1643	1261	2011	1341	1932	1927	1728
CLEC10A	299	55	76	89	6	6	38	5
CLEC11A	433	264	195	513	94	90	117	155
CLEC14A	2581	1968	3840	1969	511	485	719	431
CLEC16A	616	641	620	575	289	318	678	447
CLEC1A	534	445	299	481	258	236	431	307
CLEC2B	1003	562	632	776	93	87	143	111
CLEC2D	74	88	152	114	16	20	22	4
CLEC3B	2159	2932	2915	3741	928	862	1477	1243
CLEC4F	115	109	80	103	0	2	0	0
CLEC7A	645	80	688	161	53	26	51	30
CLGN	2178	2378	7365	2041	1968	3096	2951	2122
CLHC1	196	121	92	165	35	25	59	44
CLIC1	1121	667	583	1101	206	166	312	208
CLIC2	994	468	320	871	265	339	426	521
CLIC4	11203	7349	14128	11881	12196	14903	20182	16061
CLIC5	5436	6840	10318	6596	16348	14944	26988	19382
CLINT1	2826	1906	2773	2398	1621	1999	2892	2354
CLIP1	4753	4257	5253	5590	5858	7819	8270	12958
CLIP3	329	111	102	247	41	58	50	23
CLIP4	1793	1856	1762	1447	1247	1895	1874	1606
CLK1	10707	6502	4579	8201	3580	4595	6366	5699
CLK2	515	275	368	551	222	350	444	384
CLK3	1803	1280	1342	1432	478	864	1026	708
CLK4	2522	1389	1629	1963	981	1385	1663	1373
CLMN	306	325	515	405	173	404	387	286
CLMP	150	139	86	320	62	17	57	22
CLN3	276	183	251	255	296	367	653	515
CLN5	738	628	554	762	521	541	886	613
CLNS1A	779	592	729	745	1371	1841	2268	1845
CLOCK	214	461	265	493	215	226	410	420
CLPB	901	895	672	956	552	872	1127	967
CLPP	274	257	227	187	178	197	289	218
CLPTM1L	1550	1093	1074	1779	774	762	1097	1016
CLPX	1281	1272	1893	1180	1329	1791	2748	1909
CLSTN1	2590	2179	2215	2971	1955	2328	2954	2583
CLSTN2	323	192	320	416	76	203	512	204
CLSTN3	1872	312	426	897	180	145	299	320
CLTA	1973	1029	1032	1750	876	943	1544	1258
CLTB	1512	1637	2221	2166	1404	1029	1990	1750
CLTC	9345	8405	8576	11126	5343	5314	9732	8231
CLTCL1	289	231	509	256	34	42	40	34
CLU	22577	13324	12452	20241	1905	2048	3351	7011
CLUAP1	477	527	320	587	286	473	490	335
CLUH	2914	2974	4235	2086	1743	1673	3599	2582
CLVS1	442	166	231	306	145	197	209	165
CLYBL	1094	1354	1601	1154	386	863	994	607
CMA1	549	79	45	327	4	1	2	19
CMAS	2412	2047	2595	2251	2210	1571	3402	1880
CMBL	757	546	691	418	223	501	474	480
CMC1	532	447	759	501	245	290	400	262
CMC2	169	197	232	275	327	252	600	305
CMC4	1131	1269	1828	1107	1010	1056	1784	1164
CMIP	674	272	289	478	121	154	210	229
CMPK1	4246	3142	5744	3883	1916	1901	2655	1999
CMPK2	290	206	1244	202	132	116	250	162
CMSS1	464	502	720	594	316	337	574	386
CMTM3	197	77	56	118	42	70	94	70
CMTM4	700	763	1059	877	403	353	480	361
CMTM5	212	205	771	87	117	90	110	184
CMTM7	411	79	134	126	84	73	110	87
CMTM8	156	164	117	198	77	72	173	109
CMTR1	2887	2502	3163	2439	1483	1683	2527	1649
CMYA5	22575	37409	72478	26062	30116	44825	56608	48423
CNBP	21469	19645	28292	19941	8226	12672	14397	11891
CNDP2	3190	1994	2623	2573	4418	3500	6381	4320
CNIH1	2322	1470	1847	2080	977	1172	1478	1206
CNIH4	563	446	573	622	356	388	550	432
CNKSR2	196	61	99	215	68	72	96	58
CNKSR3	2251	766	559	1347	296	202	391	434
CNN1	1616	477	194	2627	481	191	210	816
CNN3	6189	2480	2604	5562	1344	1399	2065	1587
CNNM2	304	154	178	152	95	120	142	120
CNNM3	440	350	450	437	145	193	253	196
CNNM4	1409	1221	1330	1178	2752	2817	3609	3614
CNOT1	5649	6837	6467	6714	4006	5415	7031	5422
CNOT10	735	437	555	657	336	628	725	507
CNOT11	1407	1054	1320	1633	486	640	750	627
CNOT2	2048	1376	1435	1686	974	1184	1578	1177
CNOT3	1601	890	853	1271	549	778	955	797
CNOT4	1047	680	946	793	598	797	907	801
CNOT6	678	621	762	961	761	876	1323	999
CNOT6L	1279	845	1062	1244	523	712	836	619
CNOT7	304	267	342	284	541	759	874	674
CNOT8	1704	969	1772	1299	634	749	967	775
CNOT9	2351	1649	2584	1827	668	758	1196	830
CNP	1331	1202	1565	1267	347	367	535	357
CNPPD1	1541	1173	1756	1345	948	1135	2030	1298
CNPY2	1195	786	1020	1282	514	565	728	675
CNPY3	612	274	283	489	172	138	249	215
CNPY4	448	389	174	627	160	243	254	208
CNRIP1	659	383	385	696	260	225	441	253
CNST	308	303	287	322	132	232	250	151
CNTD1	1376	1134	1731	1362	747	902	1245	770
CNTLN	239	132	139	202	429	677	391	563
CNTN3	131	144	167	192	1	3	2	1
CNTN4	261	155	114	159	12	41	50	35
CNTNAP1	954	555	588	1390	79	121	127	52
CNTRL	453	319	278	514	152	136	256	139
CNTROB	878	655	468	772	466	592	893	638
COA1	1465	1908	2843	1830	793	861	1252	984
COA4	725	711	648	760	322	247	496	353
COA6	380	489	490	548	525	570	988	642
COA8	586	575	692	697	580	710	988	736
COASY	1438	1040	1167	1361	595	703	1088	830
COBL	2321	2013	1618	2449	1318	1562	2124	1590
COBLL1	1010	713	780	790	582	681	940	921
COCH	124	83	95	93	68	204	142	462
COG1	1724	1396	1600	1479	848	998	1184	906
COG2	975	1146	1272	1112	437	506	899	556
COG4	2167	2352	2284	2193	740	986	1417	1023
COG5	9821	10388	9275	6967	1944	3015	3336	3428
COG7	842	592	679	811	369	377	625	368
COG8	239	186	170	205	238	274	339	216
COL11A2	164	266	87	273	22	37	53	537
COL12A1	3403	2475	1375	7645	2756	1189	4362	2592
COL14A1	5031	3343	1698	7207	2156	1596	3076	2446
COL15A1	11066	9850	8243	26693	5231	2798	4740	4106
COL16A1	4549	2656	2030	5543	224	99	279	414
COL18A1	4866	4744	4458	5521	978	442	831	1190
COL1A1	12885	7706	3865	30364	4924	1766	4594	5257
COL1A2	33498	17101	9482	54568	9659	5502	10449	9273
COL21A1	3951	2941	2632	4288	58	88	84	76
COL22A1	196	50	7	844	0	9	5	4
COL23A1	344	446	368	414	14	9	2	23
COL24A1	168	102	74	220	83	47	87	75
COL27A1	1259	459	305	726	468	376	693	608
COL28A1	191	191	1152	187	33	97	111	62
COL3A1	29115	14541	7314	69768	7239	4031	8189	7092
COL4A1	15692	12470	5603	24442	8016	4401	8396	8984
COL4A2	13071	11683	7690	21600	10307	7374	11653	11396
COL4A3	2788	2029	2974	3081	629	413	852	916
COL4A4	3235	2369	2293	3958	203	142	240	181
COL4A5	898	635	566	1112	539	635	917	863
COL4A6	288	80	292	221	20	27	54	41
COL5A1	3347	2133	1523	7364	1508	881	2210	1688
COL5A2	3321	1840	1800	6296	1242	1101	2169	1568
COL5A3	1411	1088	1096	2684	683	523	1670	863
COL6A1	12018	5865	5244	14044	3020	2241	3837	3019
COL6A2	19430	12113	8773	29162	4846	3512	6704	5809
COL6A3	14613	9439	14537	22054	2577	1473	2825	2039
COL6A6	554	269	242	273	64	73	43	119
COL7A1	3186	2823	1928	3046	68	88	113	70
COL8A1	1615	1480	871	3933	462	258	770	580
COLEC12	1161	496	440	1095	458	353	646	428
COLGALT1	1841	985	920	2141	547	665	970	822
COLGALT2	306	320	215	601	236	269	274	215
COLQ	339	360	473	555	151	75	174	81
COMMD1	301	275	308	309	343	337	563	480
COMMD10	868	823	1006	739	120	147	265	196
COMMD2	805	569	920	780	1146	1348	1882	1405
COMMD3	2323	2153	2419	2399	1805	1380	2541	1938
COMMD5	468	284	263	376	264	313	498	375
COMMD6	1321	990	653	1529	409	426	746	625
COMMD7	1533	1125	1784	1460	836	1121	1605	900
COMMD8	1265	981	1004	1314	254	215	371	253
COMMD9	942	819	830	913	552	664	909	710
COMP	957	460	19	631	0	7	4	5
COMT	1977	1486	1262	2273	1171	1155	1813	1329
COMTD1	381	422	601	655	323	314	649	391
COP1	403	236	321	297	274	324	440	303
COPA	6379	5391	6435	6108	4548	5780	7632	6273
COPB1	4479	3008	3666	4386	2436	3138	3863	2990
COPB2	3807	3591	4260	3950	3019	3232	4788	3030
COPE	1926	2052	2071	2051	1059	965	1738	1425
COPG1	2866	1876	2342	2269	1434	1540	2339	1809
COPG2	930	999	1148	861	728	707	1131	824
COPRS	897	776	782	948	574	645	986	767
COPS3	2577	2228	3486	2326	1573	1755	2595	1962
COPS4	2523	2479	3121	2329	2047	2357	3580	2461
COPS5	552	675	911	617	907	1065	1679	1162
COPS7A	3757	3682	5070	3616	2730	3049	4603	3289
COPS7B	1330	998	629	1419	611	775	1033	686
COPS8	1845	1727	2512	1733	1348	1665	2314	1939
COPS9	560	701	749	711	648	413	1004	712
COPZ1	2768	2522	3294	3024	1359	1633	2542	1702
COPZ2	1592	1267	1428	1256	942	1118	1568	1218
COQ10A	3547	4321	9086	2849	5207	5183	10515	6313
COQ10B	1563	1254	1606	1502	1269	1378	1897	1522
COQ2	498	737	478	532	712	521	889	811
COQ3	827	1037	1623	835	732	1081	1343	1081
COQ4	116	126	143	124	21	34	50	40
COQ5	920	1198	632	853	565	471	938	623
COQ6	1485	1476	1755	1348	1598	1970	3143	2070
COQ8A	7205	10561	14848	7056	8035	8965	13660	9360
COQ8B	574	529	715	642	631	696	1124	932
CORIN	505	2025	5856	558	3079	8196	4712	6872
CORO1A	870	193	680	465	146	98	223	117
CORO1B	1019	467	759	645	434	385	713	506
CORO1C	5085	2060	3195	3582	1225	1226	1501	969
CORO2B	632	387	461	758	224	182	336	303
CORO6	4797	4232	6268	5479	3575	3870	8480	3848
CORO7-PAM16	679	412	961	710	254	224	396	389
COTL1	1684	363	1081	651	170	112	320	178
COX10	1617	1331	1587	1606	1365	1387	2801	1751
COX14	2550	2989	4183	2611	2982	3290	6421	4326
COX15	1327	1290	1846	1235	429	451	887	512
COX16	1249	1385	1687	1423	2220	2491	2914	2000
COX17	11907	12798	18457	14185	8007	9381	14488	11288
COX18	504	482	629	472	684	601	1018	658
COX19	425	276	233	306	350	294	487	366
COX20	104	117	210	119	152	222	322	162
COX4I1	4484	6542	7800	5299	4323	5146	8016	4840
COX4I2	499	587	803	770	382	226	592	381
COX6A2	4939	5893	7359	3631	4973	6180	10631	6813
COX6B1	2491	3117	3358	2670	2377	2458	4166	2896
COX6C	6004	7328	10923	6711	4627	6170	9058	6292
COX7A1	16880	22337	28131	19053	8227	12397	20286	10246
COX7A2	4107	5328	5201	5149	592	617	551	873
COX7A2L	964	1175	1058	1064	314	344	578	400
COX7B	3436	4200	5581	4264	6087	9485	11073	7452
COX7C	10351	11786	19442	12251	622	711	997	746
COX8A	2455	3299	4579	3126	4449	4224	6767	4769
CP	1925	658	643	280	93	573	520	1575
CPA3	303	45	19	127	13	32	50	55
CPAMD8	149	393	254	191	53	44	158	116
CPD	2313	2188	2049	1888	2114	2646	3233	2683
CPE	5586	2946	3085	3134	1238	927	1820	1405
CPEB2	1066	930	1846	1315	915	1267	1707	939
CPEB4	5769	4223	5471	4701	3912	5144	7105	8763
CPED1	1424	1463	1080	1689	679	750	1128	1044
CPLANE1	619	787	630	833	555	876	908	652
CPLANE2	322	236	124	239	76	87	139	107
CPM	1164	110	642	106	82	68	134	81
CPNE1	2078	1195	1359	1811	871	959	1484	1165
CPNE2	804	518	540	940	348	441	715	514
CPNE3	4860	4375	4319	4190	1820	1403	2923	2082
CPNE4	291	703	524	164	1	0	0	0
CPNE5	51	520	2686	81	9	6	11	72
CPNE8	1031	716	1002	738	125	190	238	242
CPOX	1206	738	696	984	437	748	780	672
CPPED1	351	304	310	368	109	165	315	236
CPQ	2320	1357	1212	2274	431	581	634	660
CPS1	2151	1030	913	242	61	807	814	2270
CPSF1	1272	787	694	1093	1083	1283	1643	1487
CPSF2	1208	1044	1015	1025	379	411	609	416
CPSF3	683	635	664	701	693	801	1033	790
CPSF4	738	573	1075	652	474	651	874	706
CPSF6	1065	993	1479	1039	557	723	835	737
CPSF7	3168	1545	2687	2400	1078	1629	1793	1443
CPT1A	1449	1999	1007	1553	442	611	890	557
CPT1B	17390	26879	23546	14840	7682	11260	12872	7693
CPT1C	136	75	21	307	16	6	11	12
CPT2	1126	1320	1186	1121	1527	1698	2507	1550
CPTP	360	465	490	396	240	173	398	247
CPVL	8277	9913	11835	10873	101	44	98	52
CPXM1	955	66	114	496	15	20	61	59
CPXM2	2197	411	132	1676	96	210	183	164
CRACDL	129	49	139	83	24	27	45	31
CRACR2B	73	99	93	147	49	32	86	52
CRADD	748	688	945	707	780	718	1258	850
CRAMP1	844	675	983	836	286	387	526	449
CRAT	5613	6593	6154	5194	5356	7132	7754	6222
CRBN	1814	1389	1638	1355	980	1635	1945	1471
CRCP	918	682	827	722	191	271	360	307
CREB1	1680	1374	1870	1698	868	1092	1348	1101
CREB3	1310	971	1622	1307	743	822	1295	960
CREB3L1	558	204	448	551	106	44	159	163
CREB3L2	202	220	137	352	118	121	249	214
CREB3L4	269	156	154	241	40	60	77	66
CREB5	2709	741	918	1337	448	465	578	1558
CREBBP	2023	1266	2291	1386	943	1417	1438	1562
CREBL2	2151	1535	1817	1879	824	1283	1641	1264
CREBRF	1539	1404	1599	1679	800	1408	1630	1308
CREBZF	3333	2580	2602	3200	944	1176	1439	1144
CREG1	7642	3413	3601	5090	3956	6036	5445	5394
CRELD1	3083	2319	1641	3795	1157	1386	2030	1749
CRELD2	399	306	264	431	102	93	146	210
CREM	2188	1398	1805	1299	365	389	563	909
CRIM1	2228	2203	2332	1558	1175	1815	1726	2185
CRIP1	2645	2618	2870	2655	283	226	378	321
CRIP2	5784	7592	9434	6988	5017	4883	8480	7078
CRIP3	645	701	149	354	18	62	55	45
CRIPT	707	637	943	609	565	825	917	816
CRISPLD2	3786	1437	2983	4516	1426	919	1329	1278
CRK	2756	1957	1921	2434	1263	1590	1903	1836
CRKL	3068	2837	3499	3272	2199	2812	3861	2710
CRLF1	326	39	35	214	23	17	34	32
CRLF3	265	144	148	227	193	190	246	202
CRLS1	3183	3348	4711	3750	803	1029	1550	974
CRMP1	251	92	73	260	141	101	184	131
CRNKL1	526	410	322	461	203	405	361	313
CROCC	155	188	148	198	45	41	55	32
CROT	465	396	443	427	2092	1732	3287	1993
CRP	471	640	746	489	73	247	163	291
CRPPA	100	108	154	62	93	135	184	132
CRTAP	3484	1940	2635	2688	690	1127	948	747
CRTC1	161	109	69	111	72	71	122	109
CRTC2	1535	852	1401	1157	488	658	1047	827
CRTC3	680	459	792	594	322	329	463	402
CRY1	1255	651	580	1100	327	527	500	725
CRY2	3598	2881	4708	2119	2426	2534	4515	3589
CRYAB	96652	85282	100722	113219	72339	63421	102492	81701
CRYBG1	335	199	307	301	177	191	249	174
CRYBG3	1706	1374	1445	1964	1943	2883	2760	2397
CRYGS	262	121	121	260	6	17	16	28
CRYL1	1299	858	1155	810	437	577	853	1170
CRYZ	1784	1697	1698	1709	483	637	747	727
CRYZL1	994	811	1177	1103	590	841	1053	783
CS	7944	8912	13702	6447	12043	14772	22569	14895
CSAD	979	624	489	736	284	493	681	582
CSDC2	608	745	755	743	102	4	241	151
CSDE1	47738	43805	45726	45878	26613	32827	43684	31246
CSE1L	2623	2019	2278	2763	2210	2892	3475	2479
CSF1	1770	971	1186	1089	463	404	750	489
CSF1R	2209	630	1261	872	710	462	801	537
CSF2RB	887	416	649	764	66	52	117	99
CSF3R	383	170	2218	341	31	39	103	97
CSGALNACT1	2227	2075	2409	2081	114	132	172	214
CSGALNACT2	272	190	279	274	177	216	196	181
CSK	1200	610	932	926	410	459	698	489
CSNK1A1	4315	3686	3929	4449	2517	3075	4428	3748
CSNK1A1L	147	120	126	157	13	16	18	9
CSNK1D	2144	1247	1721	1384	1176	1399	2199	1555
CSNK1E	6226	4054	6154	4674	1264	1745	2754	2081
CSNK1G2	352	219	389	328	164	161	293	228
CSNK1G3	774	622	654	848	361	502	628	352
CSNK2A1	121	112	78	90	95	112	141	106
CSNK2A2	813	553	612	844	509	1058	1053	1082
CSNK2B	3070	2216	4031	2500	1342	1822	2512	1876
CSPP1	432	240	421	410	119	242	336	209
CSRNP1	917	2049	1062	296	235	275	310	613
CSRNP2	1826	1250	1376	1595	708	933	1030	1032
CSRNP3	371	429	219	581	90	89	132	115
CSRP1	7184	4195	6169	8460	2030	3177	2823	3553
CSRP3	50743	68491	41230	87885	50832	33384	61982	51946
CST3	7474	3792	4748	5436	7177	8239	16169	9975
CST7	387	32	134	58	18	13	29	13
CSTB	1630	393	358	685	434	465	780	615
CSTF1	360	286	436	261	211	282	421	227
CSTF2	374	383	472	354	157	151	195	141
CSTF3	1017	632	843	961	626	927	1126	809
CSTPP1	546	385	597	401	320	334	524	439
CTBP1	3159	2600	2939	3210	2155	2208	3539	2669
CTBS	594	224	217	223	104	111	248	162
CTC1	581	289	478	405	121	159	141	155
CTCF	1291	834	1241	999	579	724	885	608
CTDP1	160	98	192	128	66	76	123	98
CTDSP1	3358	2240	3242	3090	1521	1933	2573	1964
CTDSP2	5650	4361	6798	6021	3471	6461	6080	5330
CTDSPL	1566	2470	2629	2084	231	368	379	307
CTDSPL2	784	588	953	786	295	365	483	387
CTHRC1	150	152	27	407	45	42	58	34
CTIF	2087	1545	2324	2367	1236	1513	2221	1611
CTNNA1	10156	8316	11838	10009	11877	13600	18475	13323
CTNNA3	777	969	970	701	488	290	749	828
CTNNAL1	5079	3006	3033	4003	2733	2759	4093	2787
CTNNB1	9910	8539	7236	10085	5781	7905	8298	7460
CTNNBIP1	950	1322	2859	1098	1317	946	2329	1254
CTNNBL1	1299	1046	1498	1061	543	820	1177	771
CTNND2	53	282	279	324	11	3	32	10
CTNS	707	489	553	650	315	395	562	383
CTPS1	946	647	898	785	377	329	652	489
CTPS2	611	479	581	641	168	243	331	125
CTR9	1730	1197	1427	1459	1631	1855	2452	2449
CTSA	5050	3632	3596	3674	1694	1911	3160	2418
CTSC	5285	1000	1232	1544	1144	955	1575	2064
CTSD	9149	3787	3811	3144	2435	3090	3558	3408
CTSF	2851	1606	1714	2781	1501	2344	2864	3748
CTSH	4272	2922	3106	2872	1079	830	1706	1293
CTSK	10554	511	483	1252	441	697	842	601
CTSL	5720	3046	3901	3012	1122	1832	2839	2477
CTSO	700	508	710	513	205	265	270	262
CTSS	5862	157	1081	354	243	265	439	295
CTSZ	4229	1616	1765	2068	2420	2129	3880	3036
CTTN	8202	6038	8099	7461	2046	1975	2893	2534
CTTNBP2	201	76	219	149	243	318	432	398
CTTNBP2NL	1293	679	709	774	356	428	486	388
CTU2	238	203	224	275	168	262	420	340
CUBN	192	237	216	186	11	81	112	36
CUEDC1	1318	913	1628	1227	801	638	1147	898
CUEDC2	2256	2447	2475	2337	1727	1989	3148	2231
CUL1	2283	1895	2744	1996	1169	1466	2010	1472
CUL2	2386	2027	2250	2130	1063	1314	1832	1222
CUL3	3688	3212	4979	3366	2549	3587	4197	3071
CUL4A	5810	5398	11816	4772	3183	5278	5596	4021
CUL4B	981	924	1108	1252	423	646	743	467
CUL5	1648	1826	1952	2052	2354	2849	3721	2705
CUL7	1000	559	495	954	588	590	847	609
CUL9	1324	909	1239	1127	543	656	843	564
CUTA	2042	1564	2170	1981	576	833	1234	836
CUTC	889	538	1478	729	181	341	582	392
CUX1	4057	3690	3995	3824	2475	2173	3399	2483
CWC15	2470	2168	2618	2470	2205	2812	3917	3036
CWC22	1149	650	831	855	385	547	648	506
CWC27	1199	962	987	1015	661	625	1026	684
CWF19L2	733	518	683	630	327	580	568	365
CX3CR1	151	68	133	248	34	21	75	47
CXCL10	306	15	107	209	81	29	120	75
CXCL12	12307	4261	7765	9049	1885	2174	3277	1462
CXCL14	277	105	116	171	214	415	454	299
CXCL16	565	59	145	118	27	21	40	11
CXCL9	323	47	345	109	98	33	230	41
CXCR4	2123	492	486	787	133	134	223	156
CXCR6	260	300	227	186	292	218	419	338
CXXC1	1336	821	968	1185	606	729	1151	847
CXXC4	167	261	360	292	90	259	113	38
CXXC5	1472	1284	1905	1505	983	1484	1888	1230
CYB561	321	170	159	341	2469	2443	4323	2728
CYB561A3	592	101	167	219	64	61	145	82
CYB561D1	324	214	243	385	131	193	198	163
CYB561D2	329	226	292	365	155	157	251	159
CYB5A	753	573	521	484	303	402	817	447
CYB5B	552	536	565	492	327	389	557	419
CYB5D1	1590	1394	1317	1678	620	597	1134	730
CYB5R1	4653	3965	3572	4794	2358	1370	2357	1390
CYB5R3	10944	7375	10052	9533	3190	3618	3741	3077
CYB5R4	923	710	910	758	451	523	728	593
CYB5RL	180	194	205	219	86	118	167	101
CYBA	653	258	316	332	148	148	311	259
CYBB	2393	271	1167	356	200	118	250	114
CYBC1	601	248	339	365	139	166	303	191
CYBRD1	11740	6468	9391	11849	1264	2097	2151	1601
CYC1	7745	11091	13492	7595	12441	14407	24329	16423
CYCS	92	254	195	250	224	448	453	301
CYFIP2	929	879	4584	667	648	1392	906	972
CYGB	518	298	285	454	131	102	240	133
CYLD	2748	1763	2191	3011	1174	1505	1753	1676
CYP1B1	2398	881	682	3945	211	119	188	131
CYP20A1	210	100	128	124	109	265	240	128
CYP26B1	1024	148	394	93	41	42	267	92
CYP27A1	4424	1138	1126	1499	666	871	1723	1172
CYP2C8	410	283	104	58	19	180	194	355
CYP2E1	1529	859	588	183	37	349	431	985
CYP2J2	553	481	178	748	56	65	73	123
CYP2R1	264	230	423	294	88	147	171	86
CYP2U1	805	955	1023	1091	601	658	635	843
CYP39A1	675	388	670	416	197	267	386	371
CYP3A5	366	117	68	71	23	107	75	193
CYP4F12	61	203	62	101	100	102	126	152
CYP4V2	226	189	189	205	157	253	269	204
CYP4X1	343	121	82	100	1	5	8	4
CYREN	1245	757	867	1160	305	445	654	438
