gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
MAP1LC3A	1359	1059	1350	1362	1792	1672	2097	2214
MAP1LC3B	255	228	317	235	149	198	326	261
MAP1S	531	312	297	424	184	188	340	256
MAP2	793	531	272	587	92	116	209	135
MAP2K1	401	343	429	415	176	209	416	273
MAP2K2	456	370	406	398	534	441	811	630
MAP2K3	3631	2450	3828	3588	1206	1077	1948	2318
MAP2K5	1990	1249	1371	1653	388	416	604	501
MAP2K7	870	534	740	517	240	319	565	443
MAP3K1	909	662	756	1019	406	478	789	520
MAP3K10	275	297	250	338	190	156	236	225
MAP3K11	1506	1175	1114	1739	1319	1374	1998	1636
MAP3K12	1676	951	1057	1599	555	498	906	600
MAP3K14	1349	946	1536	1193	397	698	633	547
MAP3K15	1853	2338	2150	2261	49	66	107	65
MAP3K2	1576	1200	1888	1684	892	997	1465	1496
MAP3K20	1478	5959	4168	4880	6087	6795	11602	9424
MAP3K3	4092	2807	3368	3919	1300	1695	2212	1769
MAP3K4	1609	1183	1120	1514	554	842	1015	903
MAP3K5	1543	2084	1883	1517	1994	3612	4748	3829
MAP3K6	2830	1318	4159	1764	1182	590	3485	1853
MAP3K7	2112	1838	2117	2276	640	867	1058	913
MAP3K7CL	770	258	63	955	97	22	51	74
MAP3K8	140	78	203	86	9	21	24	29
MAP4	33067	23948	18536	24372	13524	13568	19201	15655
MAP4K3	1899	2095	3361	2360	778	1109	1472	1044
MAP4K4	6210	6522	6104	8194	3678	4246	6064	5050
MAP4K5	1808	1522	2391	2171	661	821	1013	749
MAP7	136	128	139	128	166	157	373	192
MAP7D1	10855	10091	10702	9800	6942	6860	10883	8803
MAP7D3	1187	657	567	1119	411	573	633	573
MAP9	271	197	181	287	139	178	184	125
MAPK1	1321	1415	1405	1416	926	1112	1465	1296
MAPK10	608	232	214	568	15	40	60	70
MAPK11	155	86	66	191	60	20	81	64
MAPK12	897	412	257	642	289	256	602	436
MAPK14	805	660	1076	875	439	491	996	604
MAPK1IP1L	1162	685	1040	844	721	824	873	1073
MAPK3	2254	1633	2188	1865	1348	1618	2347	1844
MAPK4	1893	1636	4160	1388	1006	2101	1711	1804
MAPK7	970	374	579	743	167	165	254	210
MAPK8IP3	4260	3021	4124	3529	1364	1484	2095	1710
MAPK9	1136	1159	1261	1179	826	949	1496	990
